Front,Back,Chapter
What is the role of MAR in modern markets?,Keep pace with market developments; ban abuse; strengthen regulators’ powers and sanctions.,Chapter 14 – Market Abuse
Are orders that are amended/cancelled based on inside info covered?,Yes—insider dealing applies to cancellations/amendments made due to inside info after placing an order.,Chapter 14 – Market Abuse
Who must report suspicious activity?,Market operators and investment firms must report suspicious orders/transactions/cancellations to the competent authority without delay.,Chapter 14 – Market Abuse
Scope of Law 87(I)/2017?,"Applies to CIFs, market operators, DRSPs, and third‑country firms via a Cyprus branch; sets authorisation and supervision framework.",Chapter 1 – Investment Services Law
Third‑country firms marketing in Cyprus—what must they do?,Establish a Cypriot branch supervised by CySEC/CBC and comply with the Law; services marketed only via the branch.,Chapter 1 – Investment Services Law
List three exemptions from Law 87(I)/2017.,Insurance/reinsurance; intragroup services; incidental services in a regulated profession; plus others like certain own‑account dealers.,Chapter 1 – Investment Services Law
Who supervises CIFs and UCITS in Cyprus?,"CySEC; it also supervises AIFMs, ASPs, persons serving supervised entities, and branches located in Cyprus.",Chapter 1 – Investment Services Law
Two key CySEC responsibilities under the Law?,Maintain a public register of persons acting for CIFs/EU IFs; ensure persons are of good repute and appropriately knowledgeable.,Chapter 1 – Investment Services Law
When may CySEC/CBC share confidential info?,"With ESMA, ESRB, CBC/ECB, other EU central banks and competent authorities under EU law.",Chapter 1 – Investment Services Law
Name two powers of the Central Bank of Cyprus.,Demand information incl. phone/data records; order cessation of practices; freeze assets; conduct on‑site inspections.,Chapter 1 – Investment Services Law
What principle guides CySEC’s supervisory intensity?,"Proportionality—size, nature and complexity; minimum annual reviews.",Chapter 1 – Investment Services Law
ICF: who can be members?,"CIFs, AIFMs and management companies that provide PM, advisory, custody/management of UCITS; certain branches (voluntary).",Chapter 1 – Investment Services Law
ICF funding sources?,"Initial, annual and additional contributions; unclaimed funds; resources from suspensions/withdrawals; administrative expenses.",Chapter 1 – Investment Services Law
ICF coverage amount and timeline?,"Up to the lesser of €20,000 or 90% of covered claims; aim to pay within three months of the ICF decision.",Chapter 1 – Investment Services Law
Are ICF contributions an asset of the member?,No—contributions are not the member’s asset.,Chapter 1 – Investment Services Law
One class excluded from ICF coverage?,Investors responsible for the member’s difficulties; affiliates; close relatives/agents acting for them (see list).,Chapter 1 – Investment Services Law
Criminal penalty for violating Law 87(I)/2017?,"Imprisonment up to 5 years and/or a fine up to €700,000; BoD/management bodies may be criminally liable.",Chapter 1 – Investment Services Law
Who keeps public registers of authorised persons?,"CySEC—establishes, maintains and updates the register of persons acting for CIFs/EU IFs.",Chapter 1 – Investment Services Law
What must a third‑country firm satisfy if not under MiFIR Art.46 regime?,"Authorisation in home state, compliance with Cyprus law, and establishment of a branch in Cyprus.",Chapter 1 – Investment Services Law
Can CySEC cooperate with other NCAs?,Yes—cooperates with other NCAs and ESMA; can share necessary confidential information.,Chapter 1 – Investment Services Law
Example of exempt participant related to emissions trading?,"Operators dealing in greenhouse gas emission allowances meeting conditions (no client orders, etc.).",Chapter 1 – Investment Services Law
What documents must be accurate when submitted?,"All information, data, documents or forms to CySEC/CBC or made public must be correct, complete and not misleading.",Chapter 1 – Investment Services Law
High‑level purpose of the Law?,To regulate authorization/operation and ensure prudent supervision/enforcement over investment services in Cyprus.,Chapter 1 – Investment Services Law
How long can CySEC take to grant initial CIF authorisation?,Up to 6 months for a successful application.,Chapter 2 – Cypriot Investment Firms (CIFs)
Is authorisation valid across the EU?,Yes—passporting directly or via a branch; CySEC communicates authorisations to ESMA and maintains a register.,Chapter 2 – Cypriot Investment Firms (CIFs)
Must CIF websites disclose authorisation info?,"Yes—state CySEC authorisation, registration number, and scope of authorisation.",Chapter 2 – Cypriot Investment Firms (CIFs)
Are ancillary services alone authorisable?,No—authorisation is not granted only for ancillary services.,Chapter 2 – Cypriot Investment Firms (CIFs)
Name three continuous obligations of a CIF.,"Organisational arrangements, ongoing capital, and outsourcing oversight; regular reviews.",Chapter 2 – Cypriot Investment Firms (CIFs)
CySEC’s primary concern in conduct?,Conflicts of interest between the firm and clients or between two clients—must be disclosed before business.,Chapter 2 – Cypriot Investment Firms (CIFs)
One withdrawal ground related to inactivity?,No use of the licence for 12 months or no services/activities for 6 months.,Chapter 2 – Cypriot Investment Firms (CIFs)
Two other withdrawal grounds?,Voluntary renunciation; false/misleading authorisation info; failure to meet conditions; serious/systematic violations.,Chapter 2 – Cypriot Investment Firms (CIFs)
Who are eligible counterparties (examples)?,"CIFs, credit institutions, insurers, UCITS/pension funds and their MCs, governments, central banks.",Chapter 2 – Cypriot Investment Firms (CIFs)
Binary options allowable conditions (per slides)?,Lower fixed amount = price paid; validity > 90 days; issuer publishes prospectus and is not exposed to market risk.,Chapter 2 – Cypriot Investment Firms (CIFs)
Core CFD retail safeguards listed?,Initial margin; closing margin; negative balance protection; no bonuses.,Chapter 2 – Cypriot Investment Firms (CIFs)
SME Growth Market issuer criteria (slides recap)?,Shares admitted < 3 years; market cap < €200m; base price rules vary by time since first trading.,Chapter 2 – Cypriot Investment Firms (CIFs)
DRSP types?,"APA, ARM, and CTP—listed on CySEC public register and reported to ESMA.",Chapter 2 – Cypriot Investment Firms (CIFs)
APA/CTP post‑trade publication deadline?,Publish key data free within 15 minutes; ARM reports transactions up to T+1 business day.,Chapter 2 – Cypriot Investment Firms (CIFs)
DEA on regulated markets—one control?,Members offering DEA must be authorised; RMs ensure algos do not create disorderly markets.,Chapter 2 – Cypriot Investment Firms (CIFs)
Change of ownership notifications on RMs?,Notify CySEC within one month (per recap).,Chapter 2 – Cypriot Investment Firms (CIFs)
Crowdfunding in slides—what is it?,Alternative financing via shares or bonds (high‑level context).,Chapter 2 – Cypriot Investment Firms (CIFs)
Tied agent basic rule?,Acts for only one IF/CIF; CySEC approval in one month; termination notification within three days.,Chapter 2 – Cypriot Investment Firms (CIFs)
What is on the CySEC public register for CIFs?,"Name, number, date of authorisation, services and instruments.",Chapter 2 – Cypriot Investment Firms (CIFs)
Where must conflicts be disclosed?,To the client before undertaking business.,Chapter 2 – Cypriot Investment Firms (CIFs)
What legal forms can a UCITS take in Cyprus?,Common funds (no legal personality) with unitholders; or Variable Capital Investment Companies (VCICs) with legal personality and shares.,Chapter 4 – UCITS
Can the UCITS depositary be the management company?,No. The depositary cannot be the management company nor the internally managed VCIC; resignation requires at least 3 months’ notice and continuity until replacement.,Chapter 4 – UCITS
Key UCITS investment policy requirement for new issues?,Transferable securities must be admitted to trading within 1 year of issue.,Chapter 4 – UCITS
What deposit maturities are eligible for UCITS?,Deposits payable on demand or with a maturity of less than 12 months.,Chapter 4 – UCITS
Single issuer limits for non‑voting shares/debt/MMIs?,<10% of UCITS assets in securities or money market instruments of a single issuer; and <25% of units in a single UCITS/CIU.,Chapter 4 – UCITS
Aggregate 5% rule (‘40% basket’) summary,No more than 40% aggregate in issuers where the UCITS invests >5% individually (transferable securities/MMIs).,Chapter 4 – UCITS
Deposits with the same institution – limit?,≤20% of assets (including OTC derivative exposures to that institution).,Chapter 4 – UCITS
When may the 10% issuer limit rise to 35%?,If securities are issued or guaranteed by a Member State.,Chapter 4 – UCITS
When may bond exposure rise to 25%?,For bonds issued by a regulated and supervised credit institution in a Member State.,Chapter 4 – UCITS
Index‑tracking UCITS single‑issuer limit?,Up to 20% if the objective is to replicate the composition of a stock or debt index.,Chapter 4 – UCITS
OTC derivative counterparty limits (credit institution vs. other)?,20% if the counterparty is a credit institution; 5% if it is not.,Chapter 4 – UCITS
Temporary borrowing limits for UCITS and management companies?,"Internally managed VCICs ≤10% of UCITS NAV (or for immovable property), and ≤15% if both; management companies ≤15% of own funds in immovable property.",Chapter 4 – UCITS
Valuation basis for assets?,"Closing price, or the previous day’s close where no daily transaction occurred.",Chapter 4 – UCITS
What must the UCITS prospectus include?,"Permitted assets, investment policy, statements (e.g., high NAV volatility), and remuneration policy; submission to CySEC 15 days before publication.",Chapter 4 – UCITS
Key KIID content and principles?,"Fair, clear, not misleading; identification, competent authority, objectives/policy, past‑performance or scenarios, costs, risk profile, remuneration, and no‑guarantee statement.",Chapter 4 – UCITS
Feeder UCITS minimum investment and residual assets?,Invest at least 85% in the master; may hold up to 15% in ancillary liquid assets and derivatives.,Chapter 4 – UCITS
Master UCITS conditions (re feeder relationships)?,"Has at least one feeder, is not itself a feeder, holds no feeder units; may raise capital from others if it has two feeders; must provide documents/info to the feeder.",Chapter 4 – UCITS
Charges between commonly managed UCITS?,No charges/fees apply where UCITS/companies are commonly managed.,Chapter 4 – UCITS
Newly authorised UCITS deviation window from limits?,"Up to 6 months from authorisation, subject to risk‑spreading.",Chapter 4 – UCITS
Feeder–Master agreement transparency duty?,"Agreement must be available to feeder and master unitholders; until effective, the feeder may invest max 20% in the master.",Chapter 4 – UCITS
Legal forms for AIFs?,"Mutual company, Investment Company, Limited Partnership.",Chapter 5 – AIF & AIFM
AIF initial capital and minimum assets?,"Initial capital €125,000; minimum assets €500,000.",Chapter 5 – AIF & AIFM
Minimum directors for an AIF and independence with depositary?,At least 4 natural persons (2 executive directors). AIF directors cannot be the same as depositary directors.,Chapter 5 – AIF & AIFM
What is an Umbrella AIF?,An AIF with multiple investment compartments; minimum assets apply per compartment.,Chapter 5 – AIF & AIFM
Can AIFs invest in non‑securities?,Yes. AIFs can invest in securities and non‑securities; CySEC may restrict based on asset/investor nature.,Chapter 5 – AIF & AIFM
Who is ultimately responsible for valuation?,"The AIFM, even if an independent valuer is appointed by the depositary; notify CySEC of the appointment.",Chapter 5 – AIF & AIFM
Reporting of transactions in AIF reports?,All transactions must be included in the annual and half‑yearly reports (at least annually).,Chapter 5 – AIF & AIFM
AIFM scope thresholds under Law 133(I)/2019?,"€100m (including leverage) or €500m (no leverage, closed‑ended for ≥5 years).",Chapter 5 – AIF & AIFM
AIFM authorisation minimum functions?,At least portfolio management and risk management.,Chapter 5 – AIF & AIFM
AIFM initial capital (internally vs externally managed)?,"Internally managed: €300,000; externally managed: €125,000 plus 0.02% of portfolio >€250m (max €10m increase).",Chapter 5 – AIF & AIFM
AIFM decision time and ESMA info?,CySEC decision within 3 months; ESMA informed quarterly for active AIFMs.,Chapter 5 – AIF & AIFM
Material change notifications by AIFM?,Notify CySEC; CySEC decides within 1 month.,Chapter 5 – AIF & AIFM
Grounds for AIFM suspension/withdrawal?,"Chairman may suspend; set deadline (1 month) or fine up to €350,000; withdrawal for inactivity (12 months), no service (6 months), voluntary, violations, misleading info, capital breach.",Chapter 5 – AIF & AIFM
AIFM remuneration policy basics?,Guaranteed variable only in first year for new staff; fixed a high proportion; variable up to 50% in AIF shares with at least 40% deferred.,Chapter 5 – AIF & AIFM
Conflicts of interest examples?,"Between AIFM and AIF/investors, or between AIFs under management.",Chapter 5 – AIF & AIFM
Risk management review frequency?,At least annually; policies and systems reviewed.,Chapter 5 – AIF & AIFM
Liquidity management requirement?,Applies except for unleveraged closed‑ended AIFs.,Chapter 5 – AIF & AIFM
AIFM annual report timeline and contents?,"Within 6 months of year‑end; publish within 4 months; audited statements, income/expenditure, activities, remuneration paid.",Chapter 5 – AIF & AIFM
AIFM regulatory reporting to CySEC includes?,"Assets categories/percentages, liquidity, risk profile/systems, stress test results; may need annual EU AIF reports and quarterly AIF lists; leverage levels per AIF.",Chapter 5 – AIF & AIFM
Who nominates the independent valuer and who notifies CySEC?,Depositary nominates; AIFM notifies CySEC; AIFM remains responsible.,Chapter 5 – AIF & AIFM
What is product governance at a high level?,Process ensuring products meet needs of a defined target market with appropriate distribution strategy and reviews.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
When can a CIF aggregate client orders?,When aggregation is unlikely to disadvantage any client; allocate fairly and promptly with a written policy.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Best execution obligation core?,"Take all sufficient steps to obtain the best possible result, considering price, costs, speed, likelihood, size, nature, and other factors.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Order handling requirement?,"Prompt, fair and expeditious execution relative to other client orders; comparable orders executed sequentially unless not practical/clients’ interests require otherwise.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Inducements—when are they allowed?,Only if they enhance the quality of the service and do not impair acting in the client’s best interest; must be disclosed.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Research vs. inducement principle?,"Research must be paid by the firm (P&L) or via a research payment account; otherwise, it risks being an inducement.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Client order record‑keeping?,Keep records of all services/activities/transactions including client orders for the required retention period.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Conflicts of interest policy elements?,Identify circumstances leading to conflicts; specify procedures to manage them; disclose where unavoidable.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Periodic assessment of execution quality?,Monitor and review execution arrangements and venues; publish top execution venues (RTS 28‑style concept in MiFID II context).,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Dealing on own account vs. client orders?,Controls required to prevent front‑running; segregation of proprietary trading and client order information.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Client categorisation relevance to conduct?,Impacts protections (retail vs. professional vs. eligible counterparties) and disclosures/assessments.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Appropriateness vs. suitability—quick contrast.,Appropriateness tests product knowledge for non‑advised services; suitability assesses client objectives/risk for advice/PM.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Use of tied agents—conduct angle?,"Ensure agents act in the firm’s best interest, comply with conduct/AML requirements, and are properly supervised.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Marketing communications rule of thumb?,"Fair, clear, not misleading; consistent with legal documents and costs disclosures.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Recording telephone/electronic communications?,Record and retain relevant communications that relate to activities under MiFID laws.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Product intervention powers (CySEC/ESMA)?,Authorities may restrict or ban certain products/distribution for consumer protection/market integrity.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
What must an order allocation policy include?,"Fair allocation criteria, treatment of partial fills, timing, and allocation to proprietary accounts.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Client money and asset protection linkage?,"Safeguard assets per client asset rules; segregation, reconciliations, and disclosures to clients.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
When is disclosure of conflicts required?,As a measure of last resort where arrangements cannot ensure with reasonable confidence the prevention of risk to client interests.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Outsourcing of critical functions—conduct angle?,Ensure no material impairment of internal control and CySEC oversight; maintain responsibility and effective supervision.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
When is CDD/EDD required?,"At business relationship start; for one or linked transactions ≥ €15,000; fund transfers > €1,000 if ML/TF suspicion; gaming: winnings or bet ≥ €2,000; traders in goods: cash ≥ €10,000; and whenever doubts about documents arise.",Chapter 7 – AML
"What are SDD, CDD, EDD?","Simplified, Customer, and Enhanced Due Diligence—applied per risk level (low/medium/high).",Chapter 7 – AML
Example SDD conditions for e-money/payment instruments?,Not reloadable or max monthly use ≤ €250 in the Republic; max stored ≤ €250; used only for goods/services; cannot be funded with anonymous e-money; issuer monitors transactions. Not applicable if cash redemption > €100.,Chapter 7 – AML
Is SDD an exemption from CDD?,No. SDD adjusts timing/quantity/quality/frequency of updates and monitoring; it does not exempt CDD.,Chapter 7 – AML
Low‑risk indicators examples?,"Listed public companies, public administrations, residents of low‑risk jurisdictions with effective AML/CFT.",Chapter 7 – AML
High‑risk indicators examples?,"Unusual circumstances, high‑risk jurisdictions, asset‑holding vehicles, nominee shareholders/bearer shares, cash‑intensive, excessively complex structures.",Chapter 7 – AML
Special EDD cases?,"High‑risk third countries, correspondent relationships with third‑country institutions, business with PEPs (incl. family/close associates).",Chapter 7 – AML
How long to apply enhanced monitoring for former PEPs?,At least 12 months after ceasing to be a PEP.,Chapter 7 – AML
Suspicious activity reporting flow?,Internal suspicious report → internal evaluation → Compliance Officer report to MOKAS via GoAML.,Chapter 7 – AML
Record‑keeping period?,5 years from end of relationship or after an occasional transaction.,Chapter 7 – AML
Employee AML training requirements?,Before starting work and at least annually thereafter.,Chapter 7 – AML
Transaction monitoring is based on what?,Risk assessment and risk management frameworks.,Chapter 7 – AML
Difference between ML and TF (high level)?,Key difference is the source of funds and motivation; both may use similar methods/structures/locations.,Chapter 7 – AML
What must AMLCO submit to CySEC?,Monthly prevention statement and an Annual AML report (approved by the BoD); AMLCO is first point of contact with MOKAS.,Chapter 7 – AML
Threshold for electronic funds transfer CDD?,"> €1,000 if suspicion of ML/TF exists.",Chapter 7 – AML
Gaming sector threshold for CDD?,"Collection of winnings or bet deposits ≥ €2,000.",Chapter 7 – AML
Cash transaction threshold for traders in goods?,"≥ €10,000 in cash triggers CDD/EDD as appropriate.",Chapter 7 – AML
Link between business model vulnerabilities and EDD?,EDD aims to address higher risk customers and situations identified by the firm’s risk assessment.,Chapter 7 – AML
When to re‑perform CDD updates?,"Per risk—at onboarding triggers, periodic reviews, and when circumstances change or doubts arise.",Chapter 7 – AML
Are SDD conditions applicable when cash redemption > €100?,No—SDD conditions do not apply if redemption in cash exceeds €100.,Chapter 7 – AML
MiFIR scope (entities)?,"CIFs, credit institutions, market operators, CCPs, and third‑country firms providing investment services in the EU (with/without a branch).",Chapter 8 – MiFIR
Two broad instrument buckets under MiFIR?,"Equity (shares, ETFs, depositary receipts, certificates) and Non‑equity (bonds, structured finance products, emission allowances, derivatives).",Chapter 8 – MiFIR
Pre‑trade transparency requirement (equities)?,Publish continuously bid/offer prices and market depth; certain exceptions apply.,Chapter 8 – MiFIR
Who is exempt from certain pre‑trade publication?,Certain non‑financial counterparties (context‑dependent).,Chapter 8 – MiFIR
Name four pre‑trade waivers.,Large‑in‑scale orders; orders held in a venue’s management facility; certain non‑equity derivatives; instruments not traded on RM/MTF/OTF under specific conditions.,Chapter 8 – MiFIR
How far in advance must waiver notifications be sent?,CySEC & ESMA must be notified 4 months before start date.,Chapter 8 – MiFIR
Double‑cap mechanism thresholds?,Per trading venue ≤4% and EU‑wide ≤8% over the last 12 months; exceedance triggers 6‑month suspension of the waiver.,Chapter 8 – MiFIR
Who publishes waiver statistics and when?,"ESMA monthly, within 5 days after month‑end; extra report 5 days after the 15th if thresholds are approached/exceeded.",Chapter 8 – MiFIR
Post‑trade transparency requirements?,"Publish price, volume and time of execution as close to real‑time as technically possible (via APA where relevant).",Chapter 8 – MiFIR
MiFIR transaction reporting deadline and pathways?,"T+1 to CySEC by the CIF, an ARM, or the trading venue.",Chapter 8 – MiFIR
What must CIFs ensure for reporting systems?,"Secure transfer, minimise corruption/unauthorised access, prevent leakage, maintain confidentiality.",Chapter 8 – MiFIR
Eligible venues for derivatives trading?,"RMs, MTFs, OTFs, or EC‑approved third‑country venues on a non‑exclusive, non‑discriminatory basis.",Chapter 8 – MiFIR
Responsibility for clearing derivative transactions?,"Regulated market operator ensures clearing by CCPs; clearing members can be TVs, CCPs, and IFs.",Chapter 8 – MiFIR
Does portfolio compression trigger best execution?,"No. When providing portfolio compression, best execution obligation does not apply.",Chapter 8 – MiFIR
Are compression terminations/replacements subject to trading‑on‑venue?,No. Termination/replacement in compression is not subject to the trading obligation.,Chapter 8 – MiFIR
How are compression transactions published?,Via an APA in near real‑time (volume and time).,Chapter 8 – MiFIR
What is a CTP/APA/ARM in context?,Consolidated Tape Provider / Approved Publication Arrangement / Approved Reporting Mechanism used for transparency and reporting.,Chapter 8 – MiFIR
When do non‑EU venues qualify for trading by EU participants?,"When authorised with effective supervision, clear admission rules, issuer disclosure, and market abuse safeguards.",Chapter 8 – MiFIR
What is the trading obligation for derivatives?,Eligible derivatives must trade on organised venues (RM/MTF/OTF or approved third‑country TVs).,Chapter 8 – MiFIR
When are orders reportable (transmission vs execution)?,"CIFs may report during transmission or upon execution, per MiFIR rules.",Chapter 8 – MiFIR
Decompose Own Funds under CRR.,Own funds = Tier 1 (CET1 + AT1) + Tier 2.,Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
CET1 typical components?,"Capital instruments, share premium, retained earnings, accumulated OCI, other reserves, funds for general banking risk (available for immediate loss coverage).",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
AT1 notable features?,"Perpetual, fully paid, loss‑absorbing; may include call options at issuer’s sole discretion.",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Tier 2 examples?,"Capital instruments, subordinated loans, associated share premium; plus certain general credit risk adjustments under standardised/advanced approaches.",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Minimum ratios (Pillar 1)?,CET1 4.5%; Tier 1 6%; Total Capital 8% of Total Risk Exposure Amount.,Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Capital conservation buffer?,Up to 2.5% of total risk exposure in addition to minimums.,Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Define Total Risk Exposure Amount (TREA).,Risk‑weighted exposures + (Own funds requirements × 12.5).,Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Which risks drive RWEA and OFR?,"RWEA: credit & dilution, counterparty credit; OFR×12.5: operational, market (FX, settlement, commodities), trading book/large exposures, CVA.",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Large exposure limit to one client/group?,Net exposure ≤25% of eligible capital (or €150m where relevant).,Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Examples of exposures exempted from limits?,Covered bonds; exposures to parent/own subsidiaries; claims on local authorities (per CySEC allowances).,Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Equivalent third countries (examples)?,"Australia, Canada, Japan, Switzerland, USA, Russia.",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
ICAAP key principles?,"Board responsibility; design/implementation; regular (≥ annually), comprehensive, forward‑looking (3–5y); measurement/assessment, documented outcomes.",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
SREP five stages?,Planning; ICAAP review/assessment; review of additional info; supervisory risk‑mitigation measures; validation.,Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Risk Register purpose?,Categorise risks by probability and impact (financial/qualitative).,Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Stress testing: sensitivity analysis defined.,Change one risk factor at a time to assess impact (easy magnitude assessment; unrealistic isolation).,Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Stress testing: scenario analysis defined.,Simultaneous change of several factors (integrated view; relationships may be unstable).,Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Stress testing: reverse stress testing defined.,Identify scenarios that make the business model unviable (exposes vulnerabilities).,Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Stress test governance?,"Tailored to portfolio and environment, reviewed annually/when risk factors change, forward‑looking, with defined management actions and ownership.",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Who appoints/removes the Risk Manager?,"The Board of Directors; for significant CIFs, Risk Committee members are non‑executive.",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Disclosure: country‑by‑country reporting includes what?,"Name, activities, location, turnover, employees, P&L before tax, tax on P&L.",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Core EMIR objectives (2012)?,"Increase transparency in derivatives, mitigate counterparty credit risk, and reduce operational risk.",Chapter 10 – EMIR
Who reports derivatives to TRs?,All counterparties; CCPs/TRs under ESMA supervision for accreditation/withdrawal.,Chapter 10 – EMIR
Two approaches to clearing obligation?,Bottom‑up (EU counterparties to OTC classes) and top‑down (ESMA identifies classes lacking CCP authorisation).,Chapter 10 – EMIR
Which entities may be exempt from central clearing?,Intragroup transactions and pension funds under certain conditions.,Chapter 10 – EMIR
Who must notify when thresholds are exceeded?,FCs/NFCs must notify ESMA and their competent authority when above clearing thresholds.,Chapter 10 – EMIR
When can clearing apply to third‑country counterparties?,"Where there is a direct, substantial and foreseeable effect in the EU (including two non‑EU entities).",Chapter 10 – EMIR
What changed under EMIR Refit (Dec 2019)?,CCPs provide initial margin simulation tools to members; insolvency laws shall not prevent certain CCP actions.,Chapter 10 – EMIR
Who is responsible for reporting from June 2020 under Refit?,FC reports for itself and for NFC‑ (not subject to clearing); UCITS management company reports for UCITS; AIFM for AIFs.,Chapter 10 – EMIR
Name four risk‑mitigation techniques for non‑cleared OTCs.,Timely confirmation; portfolio reconciliation; portfolio compression; dispute resolution; collateral exchange.,Chapter 10 – EMIR
Collateral exchange requirements?,Initial and variation margin; sufficiently diversified collateral; segregation and robust operational procedures.,Chapter 10 – EMIR
Are intragroup OTCs exempt from collateral?,"Yes, within the EU under conditions.",Chapter 10 – EMIR
Minimum capital for CCPs?,"€7.5 million, proportionate to risks and to enable orderly wind‑down/restructuring.",Chapter 10 – EMIR
Large exposures and CCPs under CRR?,CCPs are exempt from large exposure requirements.,Chapter 10 – EMIR
Liquidity expectations for CCPs?,Access to central bank or creditworthy bank liquidity; measure exposures to members; non‑discriminatory pricing; daily potential liquidity needs.,Chapter 10 – EMIR
Single clearing member credit line limit?,A clearing member should not provide >25% of a CCP’s credit needs.,Chapter 10 – EMIR
Macroprudential angle of margins/haircuts?,They can be procyclical—fall in good times (build‑up of leverage) and rise in stress (margin calls trigger deleveraging).,Chapter 10 – EMIR
Disclosure by CCPs/clearing members?,Publicly disclose prices/fees incl. discounts; report costs/revenues to CySEC; disclose risks to members/clients.,Chapter 10 – EMIR
When can breaches be kept non‑public?,If CySEC/ESMA deem disclosure a threat to financial stability/market confidence or causes disproportionate damage.,Chapter 10 – EMIR
"Define TR, CCP, FC, NFC.",Trade Repository; Central Counterparty; Financial Counterparty; Non‑Financial Counterparty.,Chapter 10 – EMIR
What is T+1 in EMIR reporting context?,Reporting of transactions by the next business day.,Chapter 10 – EMIR
Which law frames CIF recovery/resolution?,Law 20(I)/2016 (recovery and resolution for credit institutions and investment firms).,Chapter 11 – Recovery & Resolution
Who prepares a recovery plan for solo CIFs?,Solo CIFs subject to consolidated supervision must maintain recovery plans to restore financial position after deterioration.,Chapter 11 – Recovery & Resolution
Name key sections of a recovery plan.,Summary of key elements and recovery capacity; material changes; capital/liquidity actions; comms & disclosure for market reactions; timeframe; impediments; governance integration; critical functions.,Chapter 11 – Recovery & Resolution
What analysis re marketability must be in the plan?,"Process to determine value/marketability of core business lines, operations and assets; arrangements to conserve/restore own funds and access contingency funding.",Chapter 11 – Recovery & Resolution
What scenarios must plans consider?,Range of scenarios (idiosyncratic/systemic); early intervention options; timely implementation.,Chapter 11 – Recovery & Resolution
Can plans assume extraordinary public support?,No. Recovery plans must not assume access to extraordinary public financial support.,Chapter 11 – Recovery & Resolution
Approval and review cadence?,Management body approves; submit to CySEC; review at least annually and after material legal/organisational changes.,Chapter 11 – Recovery & Resolution
When is a CIF ‘significant’ for recovery planning?,Assets ≥ €30bn or ≥20% of MS GDP (unless total assets ≤ €5bn).,Chapter 11 – Recovery & Resolution
Group recovery requirements?,Parent under consolidated supervision provides a group recovery plan and for each subsidiary; intra‑group financial support permitted via agreements.,Chapter 11 – Recovery & Resolution
Intra‑group support agreement principles?,Voluntary; each party acts in own best interest; full disclosure to provider; inside information considerations; consideration ignores temporary market price impacts.,Chapter 11 – Recovery & Resolution
Early intervention common triggers?,"Own funds breach risk from deteriorating capital/liquidity, leverage, NPLs, concentration. Often own funds +1.5% trigger used.",Chapter 11 – Recovery & Resolution
Early intervention measures CySEC can require?,Update plan; action plan with timetable; convene shareholders; replace management; debt restructuring plan; strategy/legal/operational changes; on‑site inspections.,Chapter 11 – Recovery & Resolution
Types of administrators and term?,Special or temporary administrators; appointed up to 1 year; remuneration borne by the CIF.,Chapter 11 – Recovery & Resolution
